Contact ID,Transcription corrigée
123545,"Je voudrais faire 3 transferts sur mon compte d'épargne BNC, le premier montant est de 65343 dollars, le second de 2999 dollars et le dernier de 20 dollars. "
123546,"Je voudrais faire 3 transferts sur mon compte d'épargne BNC, le premier montant est de 1234 dollars, le second de 2345 dollars et le dernier de 3456 dollars. "
123547,"Je voudrais faire 5 transferts sur mon compte d'épargne BNC, le premier d'un montant de 10 dollars, le second de 20 dollars, le troisième de 30 dollars, le quatrième de 40 dollars et le cinquième de 50 dollars."
123548,"Je voudrais faire 5 transferts sur mon compte d'épargne BNC, le premier de 60 dollars, le second de 70 dollars, le troisième de 80 dollars, le quatrième de 90 dollars et le cinquième de 100 dollars."
123549,"Je voudrais faire 5 transferts sur mon compte d'épargne BNC, le premier de 100 dollars, le deuxième de 200 dollars, le troisième de 300 dollars, le quatrième de 400 dollars et le cinquième de 500 dollars."
123550,"Je voudrais faire 5 virements sur mon compte d'épargne BNC, le premier de 600 dollars, le deuxième de 700 dollars, le troisième de 800 dollars, le quatrième de 900 dollars et le cinquième de 1000 dollars."
123551,"Je voudrais faire 5 transferts sur mon compte d'épargne BNC, le premier de 1001 dollars, le deuxième de 1010 dollars, le troisième de 1100 dollars, le quatrième de 1110 dollars et le cinquième de 1111 dollars."
123552,"Je voudrais faire 5 transferts sur mon compte d'épargne BNC, le premier pour 2001 dollars, le deuxième pour 2020 dollars, le troisième pour 2200 dollars, le quatrième pour 2220 dollars et le cinquième pour 2222 dollars."
123553,"Je voudrais faire 5 transferts sur mon compte REER, le premier pour 3001 dollars, le deuxième pour 3030 dollars, le troisième pour 3300 dollars, le quatrième pour 3330 dollars, le cinquième pour 3333 dollars."
123554,Je voudrais payer  13511 dollars à ma marge de crédit 
123555,Je voudrais payer  13533 dollars à ma marge de crédit 
123556,Je voudrais payer  13555 dollars à ma marge de crédit 
123557,Je voudrais payer  13566 dollars à ma marge de crédit 
123558,Je voudrais payer  13577 dollars à ma marge de crédit 
123559,Je voudrais payer  13588 dollars à ma marge de crédit 
123560,Je voudrais payer  13599 dollars à ma marge de crédit 
