FileName,TranscriptionNuance
./data\123536_NaimaF.wav,Je voudrais changer mon NIP à 66 77 88
./data\123537_NaimaF.wav,Je voudrais faire trois transferts sur mon compte épargne BNC le premier montant est de 1234 $ le second de deux 2345 $ et le dernier de 3456 $
./data\123538_NaimaF.wav,Je voudrais transférer 6677 $ et 7788 $ sur mon compte CPG demain
./data\123539_NaimaF.wav,Je voudrais transférer 1000 $ et 2002 $ sur mon compte CPG demain
./data\123540_NaimaF.wav,Je voudrais transférer 20 001 $ et 3005 $ sur mon compte CPG demain
./data\123541_NaimaF.wav,Je voudrais transférer 8888 $ et 7567 $ sur mon compte CPG demain
./data\123542_NaimaF.wav,"J'aimerais céduler un paiement mensuel de 35,25 $ qui sera versé tous les 17 du mois à partir d'octobre"
./data\123543_NaimaF.wav,"J'aimerais céduler un paiement mensuel de 60,35 $ qui sera versé tous les huit du mois à partir d'octobre"
./data\123544_NaimaF.wav,"J'aimerais séduire un paiement mensuel de 58,09 $ qui sera versé tous les premiers du mois à partir d'octobre"
./data\123545_NaimaF.wav,Je voudrais faire trois transferts sur mon compte épargne BNC le premier montant est de soi 65 343 $ le second de 2999 $ et le dernier de 20 $
./data\123546_NaimaF.wav,Je voudrais faire trois transferts sur mon compte épargne BNC le premier montant est 2034 $ le second de 2345 $ et le dernier de 3456 $
./data\123547_NaimaF.wav,Je voudrais faire cinq transferts sur mon compte d'épargne IBNC le premier d'un montant de 10 $ le second de 20 $ le troisième de 30 $ et le quatrième de 40 $ et le cinquième de 50 $
./data\123548_NaimaF.wav,Je voudrais faire cinq transferts sur mon compte d'épargne BNC le premier de 60 $ le second de 70 $ le troisième de 80 $ le quatrième de 90 $ et le cinquième de 100 $
./data\123549_NaimaF.wav,Je voudrais faire cinq transferts sur mon compte d'épargne BNC le premier deux cent dollars le deuxième de 200 $ le troisième de 300 $ le quatrième de 400 $ et le cinquième de 500 $
./data\123550_NaimaF.wav,Voudrais faire cinq virements sur mon compte épargne IBNC le premier de six cent dollars le deuxième de 700 $ le troisième de 80 dollars le quatrième de neuf dollars et le cinquième de 1000
./data\123551_NaimaF.wav,Je voudrais faire cinq transferts sur mon compte d'épargne BNC le premier 2001 $ le deuxième de 1010 $ le troisième de 1100 $ et le quatrième de 1110 $ et le cinquième de 1111 $
./data\123552_NaimaF.wav,Je voudrais faire cinq transferts sur mon compte d'épargne BNC le premier pour 2001 $ le deuxième pour 2020 $ le troisième pour 2200 $ quatrième pour 2220 $ et le cinquième pour 2222 $
./data\123553_NaimaF.wav,Je voudrais faire cinq transferts sur mon compte REER le premier pour 3001 $ le deuxième pour 3030 $ le troisième pour 3300 $ le quatrième pour 3330 $ le cinquième pour 3333 $
./data\123554_NaimaF.wav,Je voudrais payer 13 511 $ à ma marge de crédit
./data\123555_NaimaF.wav,Je voudrais payer 13 533 $ à ma marge de crédit
./data\123556_NaimaF.wav,Je voudrais payer 13 555 $ à ma marge de crédit
./data\123557_NaimaF.wav,Je voudrais payer 13 566 $ à ma marge de crédit
./data\123558_NaimaF.wav,Je voudrais payer 13 577 $ à ma marge de crédit
./data\123559_NaimaF.wav,Je voudrais payer 13 588 $ à ma marge de crédit
./data\123560_NaimaF.wav,Je voudrais payer 13 599 $ à ma marge de crédit
./data\9140224073330000251_Anne-Marie_2.wav,Donc pour moi ça sera pas la première fois ça fait huit ans que je retourne des virements du Maroc et ça fait vraiment plus de quatre jours ouvrables donc je sais pas si vous pouvez d'une façon ou d'une autre vérifier la trajectoire du virement
./data\9140224073330000251_AwaS.wav,Donc pour moi ça sera pas la première fois ça fait huit ans que je retourne des virements du Maroc et ça fait vraiment plus de quatre jours ouvrables donc je sais pas si vous pouvez d'une façon ou d'une autre vérifier la trajectoire du virement
./data\9140224073330000251_NaimaF.wav,Donc pour moi ça sera pas la première fois ça fait huit ans que je retourne des virements du Maroc et ça fait vraiment plus de quatre jours ouvrables donc je sais pas si vous pouvez d'une façon ou d'une autre vérifier la trajectoire du virement
./data\9140227026370000251_Charles.wav,J'ai des points à la carte dans ma dans mon compte MasterCard c'est une MasterCard Allure j'aimerais savoir à combien ça équivaut à peu près en argent
./data\9140227026370000251_NaimaF.wav,J'ai des points à la carte mais dans ma dans mon compte MasterCard c'est une MasterCard Allure j'aimerais savoir à combien ça équivaut à peu près on argent
./data\9140227026370000251_NajatS.wav,J'ai des points à la carte dans ma dans mon compte MasterCard c'est une Mastercard Allure j'aimerais savoir à combien ça équivaut à peu près on argent
./data\9140232168240000251_Anne-Marie_2.wav,Moi j'ai un prêt auto avec vous là j'aimerais ça faire un paiement de 2500 vendredi
./data\9140232168240000251_Charles.wav,Moi j'ai un prêt auto avec vous là j'aimerais ça faire un paiement de 2005 cent vendredi
./data\9140232168240000251_NaimaF.wav,Moi j'ai un prêt auto avec vous là j'aimerais ça faire un paiement de 2500 vendredi
./data\9140233914300000251_Anne-Marie_1.wav,C'est parce qu'il m'avait appelé moi j'avais appelé pour bien pour faire arrêter un paiement là c'était Xbox à 13 $ par mois pis là ils ont dit ben c'est une fraude nous autres on prend ça comme une fraude là pis y'a quelqu'un qui m'avait rappelé là-dessus pis là je retournais l'appel
./data\9140233914300000251_Charles.wav,Ah c'est parce qu'il m'avait appelé moi j'avais appelé pour bien pour faire arrêter un paiement là c'était Xbox à 13 $ par mois et puis là ils ont dit ben c'est une fraude nous autres on prend ça comme une fraude là pis y'a quelqu'un qui m'avait rappelé là-dessus pis là je retournais l'appel
./data\9140233914300000251_rima.wav,C'est parce qu'il m'avait appelé moi j'avais appelé pour pour faire arrêter un paiement là c'était Xbox à 13 $ par mois puis là ils ont dit ben c'est une fraude nous autres on prend ça comme une fraude là pis y'a quelqu'un qui m'avait rappelé là-dessus et puis là je retournais l'appel
./data\9140234222640000251_Charles.wav,J'ai eu des frais là d'intérêt sur ma carte de crédit le paiement a été fait là le lendemain de la date je trouve ça plate un petit peu qu'on aie pas de de rappel par courriel moi je
./data\9140234222640000251_NaimaF.wav,J'ai eu des frais là d'intérêt sur ma carte de crédit le paiement été fait là le le le lendemain de la date je trouve ça plate un petit peu qu'on n'est pas de de rappel par courriel moi je
./data\9140234222640000251_NajatS.wav,J'ai eu des frais là d'intérêt sur ma carte de crédit le paiement d'été fait là le le lendemain de la date je trouve ça plate un petit peu qu'on aie pas de de rappel par courriel en moi je
./data\9140251082810000251_AwaS.wav,Oui en fait c'est ça je vous appelle parce que je suis plus capable en fait de rentrer sur mon application là avec mon téléphone pis ils m'envoient un code de confirmation mais le courriel en fait n'est plus valide donc là je suis un peu bloqué pis j'ai essayé aussi directement sur Internet ben sur Internet là sur le TelNat là direct pis ça fonctionne pas plus
./data\9140251082810000251_Charles.wav,Oui en fait c'est ça je vous appelle parce que je suis plus capable en fait de rentrer sur mon application là avec mon téléphone pis envoyer un code de confirmation mais le courriel en fait n'est plus valide donc là je suis un peu bloqué pis j'ai j'ai essayé aussi directement sur Internet ben sur Internet là sur le TelNat là direct pis ça fonctionne pas plus
./data\9140251082810000251_NajatS.wav,Oui en fait c'est ça je vous appelle parce que je suis plus capable en fait de rentrer sur mon application là avec mon téléphone pis ils m'on voit encore de confirmation mais le courriel en fait n'est plus valide donc là je suis un peu bloqué pis j'ai essayé aussi tsé directement sur Internet ben sur Internet là sur le TelNat là direct pis ça fonctionne pas plus
./data\9140259284010000251_Charles.wav,En fait j'appelle pour deux choses là pour commencer en fait j'aimerais voir si je peux avoir une nouvelle carte de débit parce que mon PayPass ne fonctionne plus dessus
./data\9140259284010000251_NaimaF.wav,En fait j'appelle pour deux choses là pour commencer en fait j'aimerais voir si je peux avoir une nouvelle carte de débit parce que mon PayPass ne fonctionne plus dessus
./data\9140267034220000251_Charles.wav,Gemmerait savoir j'ai une transaction un virement de quatre cent dollars dans un de mes comptes j'aimerais savoir où ça été viré
./data\9140267034220000251_NajatS.wav,J'aimerais savoir transaction un virement de 400 $ dans un de mes comptes je veux savoir où ça été viré
./data\9140267034220000251_Natalia.wav,J'aimerais savoir j'ai transaction un virement de 400 $ dans une de mes comptes j'aimerais savoir où ça été viré
./data\9140268371110000251_AwaS.wav,C'est que je viens de perdre ma carte de guichet je suis pas capable de la trouver nulle part je suis dans un parc et j'ai PayPass en plus fait que il faudrait que je cancelle ma carte
./data\9140268371110000251_Charles.wav,C'est que je viens de perdre ma carte de guichet je suis pas capable de la trouver nulle part je suis dans un parc et j'ai PayPass en plus fait qu'il faudrait que je cancelle ma carte
./data\9140268371110000251_NajatS.wav,C'est que je viens de perdre ma carte de guichet je suis pas capable de la trouver nulle part je suis dans un parc et j'ai pas son plus fait que il faudrait que je cancelle ma carte
./data\9140275979500000251_Charles.wav,Oui j'aimerais savoir si je vais être chargé pour les chèques à la fin
./data\9140275979500000251_NaimaF.wav,Oui j'aimerais savoir si je vais être chargé pour les chèques à la fin
./data\9140275979500000251_NajatS.wav,Oui j'aimerais savoir si je vais être chargé pour les chèques à la fin
./data\9140276196020000251_Charles.wav,Écoutez j'arrive pas avoir action ligne là ça fait longtemps à mon compte pis aussi à huit chiffres c'est marqué on peut pas vous pouvez pas pour pour l'instant on peut pas faire votre transaction
./data\9140276196020000251_NajatS.wav,Écoutez j'arrive pas avoir action ligne là ça fait longtemps à mon compte pis aussi à huit chiffres c'est marqué on peut pas vous pouvez pas pour pour l'instant on peut pas faire votre transaction
./data\9140276196020000251_Natalia.wav,Écouter je arrive pas avoir action ligne là ça fait longtemps à mon compte pis aussi à huit chiffres c'est marqué on peut pas vous pouvez pas pour pour l'instant on peut pas faire vos transactions
./data\9140276385610000251_Anne-Marie_2.wav,Oui ça va bien je m'excuse là c'est on s'est parlé vendredi là j'étais sur l'impression que c'est déjà réglé là mais
./data\9140276385610000251_NaimaF.wav,Oui ça va bien je m'excuse là c'est on on s'est parlé vendredi là j'ai été sur l'impression que c'est que c'était déjà réglé là mais
./data\9140276385610000251_NajatS.wav,Oui ça va bien je m'excuse là c'est on s'est parlé vendredi là j'ai été sur l'impression que c'est que c'était déjà réglé là mais
./data\9140277912220000251_Charles.wav,Oui bonjour j'ai fait un changement d'adresse sur sur le site là le site mobile puis on me disait que c'était pour prendre un à trois jours ouvrables là ça fait trois jours pis j'ai aucune y'a aucun changement pour bla-bla-bla
./data\9140277912220000251_NaimaF.wav,Oui bonjour j'ai fait un changement d'adresse sur le site là le site mobile puis on me disait que c'était pour prendre à trois jours ouvrables là ça fait trois jour puis j'ai aucun y'a aucun changement pour
./data\9140277912220000251_NajatS.wav,Oui bonjour j'ai fait un changement d'adresse sur sur le site là le le site mobile puis on me disait que c'était pour prendre un à trois jours ouvrables là ça fait trois jour puis j'ai aucun y'a aucun changement pour
./data\9140285197010000251_Anne-Marie_1.wav,J'avais demandé tantôt de vous poser une question là le si le le tout était négociable au sujet dans le fond que si on était vraiment intéressé à rester chez Banque Nationale dans le fond parce que je trouvais vos taux quand même assez avantageux mais comme y'a pas de promotion chez pour le notaire ou quoi que ce soit s'il y avait place à négociation ou non
./data\9140285197010000251_NaimaF.wav,J'avais demandé tantôt de vous poser une question là le si le le tout était négociable sujet dans le fond que si on était vraiment intéressé à rester chez Banque Nationale dans le fond parce que je trouvais vos taux quand même assez avantageux mais comme il y avait pas de promotion chez pour le notaire ou quoi que ce soit s'il y avait place à négociation ou non
./data\9140286362620010251_Charles.wav,Oui j'ai en fait j'ai j'ai pris une carte de crédit commercial chez vous
./data\9140286362620010251_NajatS.wav,Oui j'ai en fait j'ai j'ai pris une carte de crédit commercial chez vous
./data\9140286362620010251_rima.wav,Oui j'ai en fait j'ai j'ai pris une carte de crédit commercial chez vous
./data\9140287238110000251_AwaS.wav,En fait j'ai fait un paiement je pense si je me souviens bien c'était mercredi ou jeudi passé pis je l'ai fait dans le mauvais compte
./data\9140287238110000251_Charles.wav,J'ai fait un paiement je pense si je me souviens bien c'était mercredi ou jeudi passé pis je l'ai fait dans le mauvais compte
./data\9140287238110000251_NaimaF.wav,En fait j'ai fait un paiement je pense si je me souviens bien c'était mercredi ou jeudi passé pis je l'ai fait dans le mauvais compte
./data\9140287714520000251_AwaS.wav,Donc j'ai une question pour vous j'ai vu en ligne pour deux comptes professionnels de la santé que qu'on peut obtenir une carte de crédit sans frais
./data\9140287714520000251_Charles.wav,Donc j'ai une question pour vous j'ai vu en ligne pour le compte professionnel de la santé que qu'on peut obtenir une carte de crédit sans frais
./data\9140287714520000251_Natalia.wav,J'ai une question pour vous j'ai vu en ligne pour les professionnels de la santé qu'on peut obtenir une carte de crédit sans frais
./data\9140303557380000251_Anne-Marie_2.wav,En fait c'est la technicienne comptable qui m'a donnée la le numéro qui m'a dit d'appeler parce que dans le fond je voulais souscrire au service de dépôt direct pour une une de mes compagnies qui avaient pas été inscrite
./data\9140303557380000251_Charles.wav,En fait c'est la technicienne comptable qui m'a donnée la le numéro qui m'a dit d'appeler parce que dans le fond je voulais souscrire au service de dépôt direct pour une une de mes compagnies qui avaient pas été inscrite
./data\9140303557380000251_NajatS.wav,En fait la technicienne comptable qui m'a donnée la le numéro qui m'a dit d'appeler parce que dans le fond je voulais souscrire au service de dépôt direct pour une une de mes compagnies qui avaient pas été inscrite
./data\9140311738340000000_Anne-Marie_2.wav,OK moi j'ai j'ai ouvert hier ou avant-hier dans le système je suis très familier avec les ordinateurs donc je suis un ancien gérant de banque j'connais un peu je te dis pas ça par prépension là mais regarde en train de m'installer pis mettre à jour toutes mes mes affaires et je veux tout rentrer les comptes des autres institutions les placements ces choses là là je fais des liens autrement dit avec mes comptes parce que on m'a expliqué que en ligne quand si tu veux mais les comptes ailleurs ça se n'est matinal donc j'ai pas besoin à toutes les mois de modifier le montant des des soldes ces affaires là
./data\9140311738340000000_AwaS.wav,OK moi j'ai j'ai ouvert tout ça hier ou avant hier dans le système c'est très familier avec les ordinateurs donc je suis un ancien gérant de banque j'connais un peu je te dis pas ça par prépension là mais regarde de m'installer puis de mettre à jour toutes mes mes affaires du tout je veux tout rentrer les comptes des autres institutions les placements ces choses là là je fais des liens autrement dit avec mes compte parce qu'on m'a expliqué que en ligne quand si tu veux mais mes comptes ailleurs ça se met à jour Thomas manque donc j'ai pas besoin à tout les mois de modifier le montant des soldes ces affaires là
./data\9140311738340000251_Charles.wav,OK moi j'ai j'ai ouvert tout ça hier ou avant hier dans le système je suis très familier avec les ordinateurs donc je suis un ancien gérant de banque j'connais un peu je te dis pas ça par prétention là mais regarde là je suis en train de m'installer pis de mettre à jour toutes mes mes affaires je veux tout rentrer les comptes des autres institutions les placements ces choses là je fais des liens autrement dit avec mes compte parce qu'on m'a expliqué que la ligne quand si tu veux mais mes comptes ailleurs ça se met à jour mythiquement donc j'ai pas besoin à toutes les mois de modifier le montant des des soldes ces affaires là
./data\9140313461800000251_Anne-Marie_1.wav,Oui ce matin je voulais accéder à mon compte en ligne pis j'ai rentré le la la question de sécurité puis même si j'ai rentré mauvaise réponse ça fonctionnait pas pis j'ai bloqué mon compte
./data\9140313461800000251_Charles.wav,Oui ce matin je voulais accéder à mon compte en ligne pis j'ai rentré le la question sécurité puis même si j'ai rentré mauvaise réponse ça fonctionnait pas pis j'ai bloqué mon compte
./data\9140313461800000251_NajatS.wav,Oui ce matin je voulais accéder à mon compte en ligne puis j'ai rentré le la la question de sécurité puis même si j'ai rentré mauvaise réponse ça fonctionnait pas pis j'ai bloqué mon compte
./data\9140336339440000251_Charles.wav,J'ai une j'ai deux cartes de crédit de la Banque Nationale deux cartes de crédit Mastercard et je voudrais annuler là celle qui est écho remises et je voudrais savoir si y'a moyen de transférer mes points sur mon autre carte
./data\9140336339440000251_NaimaF.wav,J'ai une j'ai deux cartes de crédit de la Banque Nationale deux cartes de crédit Mastercard et je voudrais annuler là celle qui est écho remises et je voudrais savoir si y'a moyen de transférer mes points sur mon autre carte
./data\9140336339440000251_rima.wav,J'ai une j'ai deux cartes de crédit de la Banque Nationale deux cartes de crédit Mastercard et je voudrais annuler là celle qui est écho remises et je voudrais savoir si y'a moyen de transférer mes points sur mon autre carte
./data\9140339131770000251_Anne-Marie_2.wav,Écoute j'ai fait 11 transfert transfert par Interac sur chèque un transfert par Interac ce ce matin de 600 $ et le destinataire arrive pas à prendre de je sais pas c'est quoi qui se passe
./data\9140339131770000251_AwaS.wav,Écoute j'ai fait un transfert bla-bla-bla transfert par Interac sur chèque bla-bla-bla un transfert par Interac ce ce matin de de 600 $ et le destinataire n'arrive pas à prendre je sais pas c'est quoi qui se passe
./data\9140339131770000251_Charles.wav,Écoute j'ai fait un transfert bla-bla transfert par Interac sur chèque bla-bla un transfert par Interac ce ce matin de 600 $ le le destinataire n'arrive pas à prendre je sais pas c'est quoi qui se passe
./data\9140354573510000251_Anne-Marie_1.wav,Oui bonjour c'est moi j'ai un compte avec Banque Nationale là pis c'est récent et là je voulais aller en ligne pour entrer dans mon compte et on ne reconnaissait pas ma carte débit ma carte client pis les infos que j'ai donné donc voilà c'est pour ça que je vous appelle aujourd'hui
./data\9140354573510000251_Charles.wav,Oui bonjour c'est que moi j'ai un compte avec Banque Nationale pis c'est récent et là je voudrais aller en ligne pour entrer dans mon compte et on ne reconnaissait pas ma carte de débit ma carte client pis les infos que j'ai donné donc voilà c'est pour ça que je vous appelle aujourd'hui
./data\9140354573510000251_rima.wav,Oui bonjour c'est que moi j'ai un compte avec Banque Nationale pis c'est récent et là je voulais aller en ligne pour entrer dans mon compte on ne connaissait pas ma carte débit ma carte client pis les infos que j'ai donné donc voilà c'est pour ça que je vous appelle aujourd'hui
./data\9140364607830000251_AwaS.wav,J'ai reçu par la poste un avis pour le renouvellement de mon prêt hypothécaire puis je voulais en discuter avec vous là moi ça serait possiblement le taux variable que je choisirais donc peut-être que je vous donne mon numéro de prêt hypothécaire
./data\9140364607830000251_Charles.wav,J'ai reçu par la poste un avis pour le renouvellement de mon prêt hypothécaire pis je voudrais discuter avec vous là mais ça serait possiblement le taux variable que je choisirais donc peut-être que je vous donne mon numéro de prêt hypothécaire
./data\9140364607830000251_NajatS.wav,J'ai reçu par la poste un avis pour le renouvellement de mon prêt hypothécaire puis je voulais discuter avec vous là moi ça serait possiblement le taux variable que je choisirais donc peut-être que je vous donne mon numéro de prêt hypothécaire
./data\9140371256170000251_Charles.wav,Oui moi j'ai appelé du but de semaine pour appliquer les points mes points sur mon hypothèque pis là hier j'ai eu un courriel comme quoi que attendez je vais comme quoi ma demande était annulée mais j'ai pas annulé ma demande
./data\9140371256170000251_NajatS.wav,Oui moi j'ai appelé pour début de semaine pour appliquer les points mes points sur mon hypothèque pis là hier j'ai reçu un courriel comme quoi que attendez je vais comme quoi ma demande été annulé mais j'ai pas annulé ma demande
./data\9140371256170000251_Natalia.wav,Oui moi j'ai appelé pour appliquer les points mes points sur mon hypothèque pis là hier j'ai reçu un courriel comme quoi que attendez je vais comme quoi ma demande a été annulé mais j'ai pas annulé ma demande
./data\9140372379510000251_Charles.wav,Je voudrais facturer un paiement via mon compte bancaire du solde de 23 000 et des poussières là je me rappelle plus exactement combien qui est le le compte là
./data\9140372379510000251_NajatS.wav,Je voudrais facturer un paiement via mon compte bancaire du solde deux 23 000 et des poussières là je me rappelle plus de combien qui est le le compte là
./data\9140372379510000251_Natalia.wav,Je voudrais facturer un paiement via mon compte bancaire du solde de 23 000 et des poussières là je me peux plus actuellement combien qui est le le compte là
./data\9140373822320000251_Anne-Marie_1.wav,Je voudrais faire trois arrêts de paiement
./data\9140373822320000251_Charles.wav,Je voudrais faire trois arrêts de paiement
./data\9140373822320000251_NajatS.wav,Je voudrais faire trois arrêts de paiement
./data\9140396750830000251_Charles.wav,C'est juste pour avoir une information par rapport à niveau est-ce que vous donnez des cartes comme par exemple comme tu sais quelqu'un qui bâtit son crédit là OK est-ce que vous donnez comme une carte comme comme carte comme une manière que tu payes là puis qu'on peut avoir comme par exemple une carte comme de crédit
./data\9140396750830000251_NaimaF.wav,Donc c'est juste pour avoir une information par rapport à niveau est-ce que vous donnez des cartes comme par exemple comme tu sais quelqu'un qui bâtit son crédit là OK est-ce que vous donnez comme une carte comme comme carte comme une manière que tu paies là et puis qu'on peut avoir comme par exemple une carte comme de crédit
./data\9140396750830000251_rima.wav,Donc c'est juste pour avoir une information par rapport à niveau est-ce que vous donnez des cartes comme par exemple comme tu sais quelqu'un qui bâtit son crédit là OK est-ce que vous donnez comme une carte comme comme carte comme une manière que tu paies là pis qu'on peut avoir comme par exemple une carte comme de crédit
./data\9140396794440000251_Anne-Marie_1.wav,Oui bonjour moi j'aimerais avoir le solde de mon CELI je vais vous donner le le numéro
./data\9140396794440000251_Charles.wav,Oui bonjour moi j'aimerais avoir le solde de mon CELI je vais vous donner le numéro
./data\9140396794440000251_NajatS.wav,Oui bonjour moi j'aimerais avoir le solde de mon CELI je vais vous donner le numéro
./data\9140399526270000251_Charles.wav,Oui bonjour moi je téléphone parce que j'ai une question je consulte mon relevé de banque et puis y a une protection que j'arrive pas à identifier c'est du 17 septembre
./data\9140399526270000251_NajatS.wav,Oui bonjour moi je parce que j'ai une question je consulte mon relevé de banque et puis y'a une transaction que j'arrive pas à identifier c'est celle du 17 septembre
./data\9140399787180000251_Charles.wav,Moi j'aimerais transférer 1000 $ en Floride s'il vous plaît de mon compte américain
./data\9140399787180000251_NaimaF.wav,Moi j'aimerais transférer 1000 $ en Floride s'il vous plaît de mon compte américain
./data\9140406250110000251_AwaS.wav,Dans un premier temps j'ai fait j'ai déposé un chèque le 13 octobre deux 3809 et 27 lequel montant a été retiré le lendemain
./data\9140406250110000251_Charles.wav,Dans un premier temps j'ai fait j'ai déposé un chèque le 13 octobre de 3000 809 et 27 lequel montant était retiré là
./data\9140406250110000251_Natalia.wav,Dans un premier temps j'ai fait un dépôt j'ai déposé un chèque le 13 octobre de 3809 et 27 lequel montant était retiré le lendemain
./data\9140414041310000251_Anne-Marie_1.wav,Oui bonjour mot pour savoir si je pourrais vérifier si je peux avoir une montassions de limite sur ma carte de crédit
./data\9140414041310000251_NajatS.wav,Oui bonjour c'est pour savoir si je pourrais vérifier si je peux avoir une augmentation de limite sur ma carte de crédit
./data\9140414041310000251_Natalia3.wav,Oui bonjour mot pour savoir si je pourrais vérifier si je peux avoir une augmentation de limite sur ma carte de crédit
./data\9140414508570000251_Charles.wav,J'appelais pour rembourser mes mes prêts étudiant
./data\9140414508570000251_NajatS.wav,J'appelais pour rembourser mes mes prêts étudiant
./data\9140415522630000251_Charles.wav,Oui c'est pour faire mettre un compte épargne dans le téléphone dans le TelNat
./data\9140415522630000251_NaimaF.wav,Oui c'est pour faire mettre un compte d'épargne dans le téléphone dans le TelNat
./data\9140415522630000251_NajatS.wav,Oui c'est pour faire mettre un compte d'épargne dans le téléphone dans le TelNat
./data\9140416643730000251_Anne-Marie_2.wav,Oui moi ça serait pour faire changer l'adresse de correspondance pour la compagnie
./data\9140416643730000251_Charles.wav,Oui moi ça serait pour faire changer l'adresse de correspondance pour la compagnie
./data\9140416643730000251_NajatS.wav,Oui moi ça serait pour faire changer l'adresse de correspondance pour la compagnie
./data\9140418506740000251_Anne-Marie_1.wav,Ben parce que regarde moi pis mon conjoint on a le un compte ensemble là moi j'ai le intérêt quotidien et lui à son compte mais moi dans mon compte là on a on est ensemble j'ai un montant de la Banque Nationale de 701 et 91 qui était déposé dans mon compte je voudrais savoir c'est qu'elle vient cet argent là
./data\9140418506740000251_Charles.wav,Bien parce que regarde moi pis mon conjoint on a un compte ensemble là moi j'ai le intérêt quotidien et lui il à son compte mais moi dans mon compte là on a on est ensemble j'ai un montant de la Banque Nationale de 701 et 91 qui était déposé dans mon compte je voudrais savoir d'où c'est qu'à vient cet argent là
